item	name	description	type	category	subcategory	label
http://www.wikidata.org/entity/Q306	Sebastián Piñera	Chilean entrepreneur and politician (1949–2024)	entity	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q12735	John Amos Comenius	Czech teacher, educator, philosopher and writer (1592-1670)	entity	politics	politician	cultural representative
http://www.wikidata.org/entity/Q1752	Macrinus	Roman emperor from 217 to 218	entity	politics	politician	cultural representative
http://www.wikidata.org/entity/Q1639	Lamine Diack	Senegalese sports manager (1933–2021)	entity	politics	politician	cultural representative
http://www.wikidata.org/entity/Q9588	Richard Nixon	President of the United States from 1969 to 1974	entity	politics	politician	cultural representative
http://www.wikidata.org/entity/Q1625	Sigfrid Edström	Swedish industrialist and International Olympic Committee official (1870–1964)	entity	politics	politician	cultural representative
http://www.wikidata.org/entity/Q1628	David Cecil, 6th Marquess of Exeter	English athlete, sports official, and Conservative Party politician (1905-1981)	entity	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q12706	Maxim Gorky	Russian writer (1868–1936)	entity	politics	politician	cultural representative
http://www.wikidata.org/entity/Q207	George W. Bush	President of the United States from 2001 to 2009	entity	politics	politician	cultural representative
http://www.wikidata.org/entity/Q12702	Robert Cecil	lawyer, politician and diplomat in the United Kingdom (1864-1958)	entity	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q12696	Nitobe Inazō	Japanese educator, agricultural economist and diplomat (1862–1933)	entity	politics	politician	cultural representative
http://www.wikidata.org/entity/Q206	Stephen Harper	22nd prime minister of Canada from 2006 to 2015	entity	politics	politician	cultural representative
http://www.wikidata.org/entity/Q1541	Cicero	Roman statesman, lawyer, orator, and philosopher (106–43 BC)	entity	politics	politician	cultural representative
http://www.wikidata.org/entity/Q1503	Manuel L. Quezon	President of the Philippines from 1935 to 1944	entity	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q9582	Gerald Ford	president of the United States from 1974 to 1977	entity	politics	politician	cultural representative
http://www.wikidata.org/entity/Q9576	James Callaghan	former prime minister of the United Kingdom (1912–2005)	entity	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q5327	Adolf Butenandt	German biochemist (1903-1995)	entity	politics	politician	cultural representative
http://www.wikidata.org/entity/Q5335	Harm Wiersma	Dutch draughts player and former politician, World champion	entity	politics	politician	cultural representative
http://www.wikidata.org/entity/Q12688	Jean Jaurès	French / Occitan Socialist leader (1859-1914)	entity	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q1480	Corazon Aquino	President of the Philippines from 1986 to 1992	entity	politics	politician	cultural representative
http://www.wikidata.org/entity/Q192	David Cameron	British politician (born 1966)	entity	politics	politician	cultural representative
http://www.wikidata.org/entity/Q12680	Paul Doumer	French statesman (1857–1932)	entity	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q9575	Harivansh Rai Bachchan	Indian Hindi poet, Father of Amitabh Bachchan (1907-2003)	entity	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q1464	Benigno Aquino III	President of the Philippines from 2010 to 2016	entity	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q12499	Patrick Janssens	Flemish politician; former mayor of Antwerp	entity	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q12456	Hippoliet Van Peene	Flemish physician and playwright. Composer of the Flemish anthem (1811-1864)	entity	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q12500	Daniël Termont	Mayor of Ghent	entity	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q12665	Robert Baden-Powell, 1st Baron Baden-Powell	lieutenant-general in the British Army, writer, founder and Chief Scout of the Scout Movement (1857-1941)	entity	politics	politician	cultural representative
http://www.wikidata.org/entity/Q12341	Roberto Noble	Argentine politician, journalist and publisher, founder of Argentinian newspaper Clarín (1902-1969)	entity	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q12498	Stefaan De Clerck	Flemish politician; former mayor of Kortrijk	entity	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q5208	Huang Xianfan	Chinese historian, ethnologist and educator (1899-1982)	entity	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q9559	John Major	former prime minister of the United Kingdom (born 1943)	entity	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q1463	Ferdinand Marcos	President of the Philippines from 1965 to 1986	entity	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q91	Abraham Lincoln	president of the United States from 1861 to 1865	entity	politics	politician	cultural representative
http://www.wikidata.org/entity/Q1446	Caracalla	Roman emperor from 198 to 217	entity	politics	politician	cultural representative
http://www.wikidata.org/entity/Q9545	Tony Blair	Prime Minister of the United Kingdom from 1997 to 2007	entity	politics	politician	cultural representative
http://www.wikidata.org/entity/Q5152	Mustafa Kemal Atatürk	founding father of the Republic of Turkey (c. 1881-1938)	entity	politics	politician	cultural representative
http://www.wikidata.org/entity/Q1442	Septimius Severus	Roman emperor from 193 to 211	entity	politics	politician	cultural representative
http://www.wikidata.org/entity/Q1440	Didius Julianus	emperor of ancient Rome (193 CE)	entity	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q9509	Piero Gros	Italian alpine ski racer	entity	politics	politician	cultural representative
http://www.wikidata.org/entity/Q9513	A. P. J. Abdul Kalam	Indian scientist and statesman (1931–2015)	entity	politics	politician	cultural representative
http://www.wikidata.org/entity/Q76	Barack Obama	president of the United States from 2009 to 2017	entity	politics	politician	cultural representative
http://www.wikidata.org/entity/Q1436	Pertinax	emperor of Ancient Rome (126-193)	entity	politics	politician	cultural representative
http://www.wikidata.org/entity/Q5028	Britta Thomsen	Danish politician	entity	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q5015	Mette Frederiksen	Prime Minister of Denmark since 2019	entity	politics	politician	cultural representative
http://www.wikidata.org/entity/Q4933	Otto Richard Kierulf	Norwegian military officer, politician and sports administrator (1825-1897)	entity	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q4926	Birger Kildal	Norwegian politician (1849-1913)	entity	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q1433	Lucius Verus	emperor of Ancient Rome (130-169)	entity	politics	politician	cultural representative
http://www.wikidata.org/entity/Q23	George Washington	Founding Father and first U.S. president (1789–1797)	entity	politics	politician	cultural representative
http://www.wikidata.org/entity/Q133278742	Mary Theresa King-Myers	first female municipal councillor in rural Canada	entity	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q131544854	Mlungisi Makhanya	Swaziland human rights defender	entity	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q122165854	Leader of the Australian Labor Party in Victoria	Victorian branch leader	entity	politics	politician	cultural exclusive
